Dimensione,timeBubble,timeQuick,timeHeap
50,0.000008,0.000003,0.000006
300,0.000242,0.000023,0.000052
550,0.000784,0.000047,0.000109
800,0.001618,0.000071,0.000169
1050,0.002721,0.000092,0.000221
1300,0.004068,0.000120,0.000276
1550,0.005680,0.000144,0.000335
1800,0.007730,0.000162,0.000391
